zip_code;city;lat;lng;ne_lat;ne_lng;sw_lat;sw_lng
23730;Sierksdorf;54.1336;10.8225;54.1877;10.9473;54.0543;10.7112
15306;Worin;52.4943;14.3604;52.6174;14.5209;52.4029;14.2195
16359;Lanke;52.7699;13.6086;52.8297;13.6993;52.6993;13.5184
16348;Zerpenschleuse;52.7836;13.4904;52.8771;13.651;52.6356;13.3911
16227;Eberswalde;52.8419;13.7391;52.8671;13.778;52.8122;13.6842
19348;Wüsten-Buchholz;53.1169;11.9261;53.2789;12.0783;53.0053;11.6914
17214;Silz;53.5408;12.3808;53.5939;12.4898;53.4779;12.2923
17192;Waren;53.5146;12.7305;53.6219;12.9082;53.396;12.5618
17252;Schwarz;53.2381;12.8509;53.3883;12.9736;53.1873;12.6911
16775;Zernikow;53.0564;13.1083;53.1855;13.3695;52.7932;12.9379
18292;Linstow;53.6493;12.2891;53.7475;12.4232;53.5678;12.1653
16269;Wriezener Höhe;52.7016;14.0917;52.783;14.257;52.6393;13.9723
15320;Wulkow;52.6305;14.2277;52.7148;14.3177;52.5443;14.1308
15324;Wilhelmsaue;52.6653;14.3882;52.7608;14.498;52.5887;14.2693
25764;Wulfenhusen;54.2031;8.91386;54.2879;9.01397;54.1361;8.82171
24793;Oldenhütten;54.1812;9.75898;54.2247;9.81384;54.1368;9.70734
24644;Timmaspe;54.1237;9.92201;54.1655;9.98407;54.0957;9.84407
25791;Linden;54.2426;9.1926;54.2771;9.23328;54.2119;9.16035
25799;Wrohm;54.2157;9.39662;54.2368;9.44403;54.2011;9.35921
24813;Schülp;54.2516;9.63868;54.274;9.65853;54.2256;9.60398
24245;Klein Barkau;54.219;10.1654;54.2415;10.1875;54.1842;10.1224
24326;Stocksee;54.1335;10.326;54.1788;10.4193;54.0708;10.2424
24241;Sören;54.2222;9.99687;54.2799;10.0783;54.1803;9.94759
25774;Lunden;54.3276;9.01596;54.3787;9.06843;54.2486;8.90652
24803;Tielen;54.3049;9.31311;54.3476;9.40641;54.2714;9.25887
25878;Seeth;54.3616;9.14933;54.3912;9.20826;54.3168;9.10006
24790;Schülldorf;54.3121;9.77578;54.347;9.83905;54.2583;9.70309
24817;Tetenhusen;54.3528;9.47528;54.3729;9.56584;54.3364;9.39339
23992;Zweihausen;53.8849;11.7031;53.9769;11.8055;53.8122;11.5451
23999;Insel Poel;54.008;11.4581;54.0247;11.4963;53.9573;11.3747
23970;Wismar;53.9058;11.6024;53.9384;11.6531;53.856;11.4414
18246;Zepelin;53.8609;11.9439;53.9858;12.0931;53.7883;11.7563
24147;Klausdorf;54.3028;10.1855;54.3103;10.1922;54.2961;10.1611
24109;Melsdorf;54.3172;10.0477;54.3342;10.0978;54.2953;9.99927
23714;Malente;54.1978;10.599;54.2364;10.7159;54.1327;10.4829
23562;Lübeck;53.8302;10.7089;53.8567;10.764;53.8019;10.684
23743;Morest;54.1865;10.9688;54.2226;11.056;54.1362;10.8871
24238;Selent;54.2777;10.4437;54.3188;10.5109;54.2163;10.3492
23777;Wulfshof;54.2856;11.0329;54.3141;11.084;54.2466;10.9579
16248;Stolzenhagen;52.9216;14.08;52.9674;14.1618;52.7892;13.8741
